target,target_tag,sample,condition,status,input_hits_file,normalized_hits_file,output_dir,log_file,elapsed_seconds,message
20,T020,yH298-parent-pool1,parent,success,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T020/yH298-parent-pool1/yH298-parent-pool1_normalized_hits.txt,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T020/yH298-parent-pool1,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/logs/sample_normalization/T020.log,6.882,Feature-level retention requires SummaryTable on normalized hits and will be confirmed in a later step.
20,T020,yH298-parent-pool2,parent,success,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/create_hit_file/yH298-parent-pool2/yH298-parent-pool2_hits.txt,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T020/yH298-parent-pool2/yH298-parent-pool2_normalized_hits.txt,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T020/yH298-parent-pool2,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/logs/sample_normalization/T020.log,6.882,Feature-level retention requires SummaryTable on normalized hits and will be confirmed in a later step.
20,T020,yH299-parent-pool3,parent,success,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/create_hit_file/yH299-parent-pool3/yH299-parent-pool3_hits.txt,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T020/yH299-parent-pool3/yH299-parent-pool3_normalized_hits.txt,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T020/yH299-parent-pool3,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/logs/sample_normalization/T020.log,6.882,Feature-level retention requires SummaryTable on normalized hits and will be confirmed in a later step.
20,T020,yH299-parent-pool4,parent,success,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/create_hit_file/yH299-parent-pool4/yH299-parent-pool4_hits.txt,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T020/yH299-parent-pool4/yH299-parent-pool4_normalized_hits.txt,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T020/yH299-parent-pool4,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/logs/sample_normalization/T020.log,6.882,Feature-level retention requires SummaryTable on normalized hits and will be confirmed in a later step.
30,T030,yH298-parent-pool1,parent,success,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T030/yH298-parent-pool1/yH298-parent-pool1_normalized_hits.txt,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T030/yH298-parent-pool1,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/logs/sample_normalization/T030.log,6.114,Feature-level retention requires SummaryTable on normalized hits and will be confirmed in a later step.
30,T030,yH298-parent-pool2,parent,success,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/create_hit_file/yH298-parent-pool2/yH298-parent-pool2_hits.txt,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T030/yH298-parent-pool2/yH298-parent-pool2_normalized_hits.txt,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T030/yH298-parent-pool2,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/logs/sample_normalization/T030.log,6.114,Feature-level retention requires SummaryTable on normalized hits and will be confirmed in a later step.
30,T030,yH299-parent-pool3,parent,success,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/create_hit_file/yH299-parent-pool3/yH299-parent-pool3_hits.txt,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T030/yH299-parent-pool3/yH299-parent-pool3_normalized_hits.txt,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T030/yH299-parent-pool3,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/logs/sample_normalization/T030.log,6.114,Feature-level retention requires SummaryTable on normalized hits and will be confirmed in a later step.
30,T030,yH299-parent-pool4,parent,success,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/create_hit_file/yH299-parent-pool4/yH299-parent-pool4_hits.txt,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T030/yH299-parent-pool4/yH299-parent-pool4_normalized_hits.txt,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T030/yH299-parent-pool4,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/logs/sample_normalization/T030.log,6.114,Feature-level retention requires SummaryTable on normalized hits and will be confirmed in a later step.
40,T040,yH298-parent-pool1,parent,success,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T040/yH298-parent-pool1/yH298-parent-pool1_normalized_hits.txt,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T040/yH298-parent-pool1,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/logs/sample_normalization/T040.log,6.125,Feature-level retention requires SummaryTable on normalized hits and will be confirmed in a later step.
40,T040,yH298-parent-pool2,parent,success,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/create_hit_file/yH298-parent-pool2/yH298-parent-pool2_hits.txt,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T040/yH298-parent-pool2/yH298-parent-pool2_normalized_hits.txt,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T040/yH298-parent-pool2,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/logs/sample_normalization/T040.log,6.125,Feature-level retention requires SummaryTable on normalized hits and will be confirmed in a later step.
40,T040,yH299-parent-pool3,parent,success,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/create_hit_file/yH299-parent-pool3/yH299-parent-pool3_hits.txt,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T040/yH299-parent-pool3/yH299-parent-pool3_normalized_hits.txt,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T040/yH299-parent-pool3,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/logs/sample_normalization/T040.log,6.125,Feature-level retention requires SummaryTable on normalized hits and will be confirmed in a later step.
40,T040,yH299-parent-pool4,parent,success,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/create_hit_file/yH299-parent-pool4/yH299-parent-pool4_hits.txt,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T040/yH299-parent-pool4/yH299-parent-pool4_normalized_hits.txt,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/sample_normalization/T040/yH299-parent-pool4,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/local_glabrata_smoke_v1/logs/sample_normalization/T040.log,6.125,Feature-level retention requires SummaryTable on normalized hits and will be confirmed in a later step.
